"Footprint","Part Value","LCSC Part"
"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm","MP2307","C18921"
"SOT-223","LD117AS33TR","C115288"
"SOT-23","MMBT3904","C20526"
"SOT-23-5","VRH2851NTX","C697994"
"SOT-23-6","74LVC2G17","C7394037"
"TO-252-3_TabPin2","NCP1117-2.85/-ADJ","C233409"
"TQFP-144_20x20mm_P0.5mm","XC95144XL-TQ144","C1521137"
"TSOP-5_1.65x3.05mm_P0.95mm","BU4942","C2067989"
"TSSOP-20_4.4x6.5mm_P0.65mm","SN74CB3T3245PW","C15298"
"TSSOP-20_4.4x6.5mm_P0.65mm","PCF8574TS","C57790"
"TSSOP-8_3x3mm_P0.65mm","74LVC1G74","C458768"
"VQFP64","XC9572XL-VQ64","C90569"
